c constant 28014
p qubo 0 200 110 919
0 0 -3175
1 1 -3935
2 2 -2849
3 3 -4277
4 4 -2699
5 5 -4382
6 6 -668
7 7 -4430
8 8 141
9 9 -3732
10 10 -4021
11 11 -426
12 12 -3651
13 13 -76
20 20 -760
21 21 -1440
22 22 -2040
23 23 -3000
24 24 -3840
25 25 -760
26 26 -1900
27 27 -3600
28 28 -5100
29 29 -7500
30 30 -9600
31 31 -1900
44 44 -390
45 45 -760
46 46 -1110
47 47 -1750
48 48 -2560
49 49 -390
56 56 -390
57 57 -760
58 58 -1110
59 59 -1750
60 60 -2560
61 61 -390
68 68 -390
69 69 -760
70 70 -1110
71 71 -1750
72 72 -2560
73 73 -390
80 80 -390
81 81 -760
82 82 -1110
83 83 -1750
84 84 -2560
85 85 -390
92 92 -390
93 93 -760
94 94 -1110
95 95 -1750
96 96 -2560
97 97 -390
98 98 -390
99 99 -760
100 100 -1110
101 101 -1750
102 102 -2560
103 103 -390
110 110 -390
111 111 -760
112 112 -1110
113 113 -1750
114 114 -2560
115 115 -390
128 128 10
129 129 40
130 130 90
131 131 250
132 132 640
133 133 10
140 140 10
141 141 40
142 142 90
143 143 250
144 144 640
145 145 10
152 152 10
153 153 40
154 154 90
155 155 250
156 156 640
157 157 10
164 164 10
165 165 40
166 166 90
167 167 250
168 168 640
169 169 10
176 176 10
177 177 40
178 178 90
179 179 250
180 180 640
181 181 10
182 182 10
183 183 40
184 184 90
185 185 250
186 186 640
187 187 10
194 194 10
195 195 40
196 196 90
197 197 250
198 198 640
199 199 10
0 1 4
0 26 80
0 27 160
0 28 240
0 29 400
0 30 640
0 31 80
0 128 -80
0 129 -160
0 130 -240
0 131 -400
0 132 -640
0 133 -80
1 26 480
1 27 960
1 28 1440
1 29 2400
1 30 3840
1 31 480
1 44 480
1 45 960
1 46 1440
1 47 2400
1 48 3840
1 49 480
2 3 4
2 26 -20
2 27 -40
2 28 -60
2 29 -100
2 30 -160
2 31 -20
2 140 20
2 141 40
2 142 60
2 143 100
2 144 160
2 145 20
3 26 380
3 27 760
3 28 1140
3 29 1900
3 30 3040
3 31 380
3 56 380
3 57 760
3 58 1140
3 59 1900
3 60 3040
3 61 380
4 5 4
4 26 -80
4 27 -160
4 28 -240
