c constant 5600
p qubo 0 200 110 919
0 0 -392
1 1 -784
2 2 -406
3 3 -799
4 4 -391
5 5 -785
6 6 -304
7 7 -703
8 8 -320
9 9 -720
10 10 -799
11 11 -400
12 12 -764
13 13 -365
20 20 -76
21 21 -144
22 22 -204
23 23 -300
24 24 -384
25 25 -76
26 26 -190
27 27 -360
28 28 -510
29 29 -750
30 30 -960
31 31 -190
44 44 -39
45 45 -76
46 46 -111
47 47 -175
48 48 -256
49 49 -39
56 56 -39
57 57 -76
58 58 -111
59 59 -175
60 60 -256
61 61 -39
68 68 -39
69 69 -76
70 70 -111
71 71 -175
72 72 -256
73 73 -39
80 80 -39
81 81 -76
82 82 -111
83 83 -175
84 84 -256
85 85 -39
92 92 -39
93 93 -76
94 94 -111
95 95 -175
96 96 -256
97 97 -39
98 98 -39
99 99 -76
100 100 -111
101 101 -175
102 102 -256
103 103 -39
110 110 -39
111 111 -76
112 112 -111
113 113 -175
114 114 -256
115 115 -39
128 128 1
129 129 4
130 130 9
131 131 25
132 132 64
133 133 1
140 140 1
141 141 4
142 142 9
143 143 25
144 144 64
145 145 1
152 152 1
153 153 4
154 154 9
155 155 25
156 156 64
157 157 1
164 164 1
165 165 4
166 166 9
167 167 25
168 168 64
169 169 1
176 176 1
177 177 4
178 178 9
179 179 25
180 180 64
181 181 1
182 182 1
183 183 4
184 184 9
185 185 25
186 186 64
187 187 1
194 194 1
195 195 4
196 196 9
197 197 25
198 198 64
199 199 1
0 1 800
0 26 8
0 27 16
0 28 24
0 29 40
0 30 64
0 31 8
0 128 -8
0 129 -16
0 130 -24
0 131 -40
0 132 -64
0 133 -8
1 26 48
1 27 96
1 28 144
1 29 240
1 30 384
1 31 48
1 44 48
1 45 96
1 46 144
1 47 240
1 48 384
1 49 48
2 3 800
2 26 -2
2 27 -4
2 28 -6
2 29 -10
2 30 -16
2 31 -2
2 140 2
2 141 4
2 142 6
2 143 10
2 144 16
2 145 2
3 26 38
3 27 76
3 28 114
3 29 190
3 30 304
3 31 38
3 56 38
3 57 76
3 58 114
3 59 190
3 60 304
3 61 38
4 5 800
4 26 -8
4 27 -16
4 28 -24
4 29 -40
4 30 -64
4 31 -8
4 152 8
4 153 16
4 154 24
4 155 40
4 156 64
4 157 8
5 26 32
5 27 64
5 28 96
5 29 160
5 30 256
5 31 32
5 68 32
5 69 64
5 70 96
5 71 160
5 72 256
5 73 32
6 7 800
6 26 -20
6 27 -40
6 28 -60
6 29 -100
6 30 -160
6 31 -20
6 164 20
6 165 40
6 166 60
6 167 100
6 168 160
6 169 20
7 26 20
7 27 40
7 28 60
7 29 100
7 30 160
7 31 20
7 80 20
7 81 40
7 82 60
7 83 100
7 84 160
7 85 20
8 9 800
8 26 -18
8 27 -36
8 28 -54
8 29 -90
8 30 -144
8 31 -18
8 176 18
8 177 36
8 178 54
8 179 90
8 180 144
8 181 18
9 26 22
9 27 44
9 28 66
9 29 110
9 30 176
9 31 22
9 92 22
9 93 44
9 94 66
9 95 110
9 96 176
9 97 22
10 11 800
10 20 42
10 21 84
10 22 126
10 23 210
10 24 336
10 25 42
10 98 42
10 99 84
10 100 126
10 101 210
10 102 336
10 103 42
11 20 2
11 21 4
11 22 6
11 23 10
11 24 16
11 25 2
11 182 -2
11 183 -4
11 184 -6
11 185 -10
11 186 -16
11 187 -2
12 13 800
12 20 52
12 21 104
12 22 156
12 23 260
12 24 416
12 25 52
12 110 52
12 111 104
12 112 156
12 113 260
12 114 416
12 115 52
13 20 12
13 21 24
13 22 36
13 23 60
13 24 96
13 25 12
13 194 -12
13 195 -24
13 196 -36
13 197 -60
13 198 -96
13 199 -12
20 21 16
20 22 24
20 23 40
20 24 64
20 25 8
20 98 2
20 99 4
20 100 6
20 101 10
20 102 16
20 103 2
20 110 2
20 111 4
20 112 6
20 113 10
20 114 16
20 115 2
20 182 -2
20 183 -4
20 184 -6
20 185 -10
20 186 -16
20 187 -2
20 194 -2
20 195 -4
20 196 -6
20 197 -10
20 198 -16
20 199 -2
21 22 48
21 23 80
21 24 128
21 25 16
21 98 4
21 99 8
21 100 12
21 101 20
21 102 32
21 103 4
21 110 4
21 111 8
21 112 12
21 113 20
21 114 32
21 115 4
21 182 -4
21 183 -8
21 184 -12
21 185 -20
21 186 -32
21 187 -4
21 194 -4
21 195 -8
21 196 -12
21 197 -20
21 198 -32
21 199 -4
22 23 120
22 24 192
22 25 24
22 98 6
22 99 12
22 100 18
22 101 30
22 102 48
22 103 6
22 110 6
22 111 12
22 112 18
22 113 30
22 114 48
22 115 6
22 182 -6
22 183 -12
22 184 -18
22 185 -30
22 186 -48
22 187 -6
22 194 -6
22 195 -12
22 196 -18
22 197 -30
22 198 -48
22 199 -6
23 24 320
23 25 40
23 98 10
23 99 20
23 100 30
23 101 50
23 102 80
23 103 10
23 110 10
23 111 20
23 112 30
23 113 50
23 114 80
23 115 10
23 182 -10
23 183 -20
23 184 -30
23 185 -50
23 186 -80
23 187 -10
23 194 -10
23 195 -20
23 196 -30
23 197 -50
23 198 -80
23 199 -10
24 25 64
24 98 16
24 99 32
24 100 48
24 101 80
24 102 128
24 103 16
24 110 16
24 111 32
24 112 48
24 113 80
24 114 128
24 115 16
24 182 -16
24 183 -32
24 184 -48
24 185 -80
24 186 -128
24 187 -16
24 194 -16
24 195 -32
24 196 -48
24 197 -80
24 198 -128
24 199 -16
25 98 2
25 99 4
25 100 6
25 101 10
25 102 16
25 103 2
25 110 2
25 111 4
25 112 6
25 113 10
25 114 16
25 115 2
25 182 -2
25 183 -4
25 184 -6
25 185 -10
25 186 -16
25 187 -2
25 194 -2
25 195 -4
25 196 -6
25 197 -10
25 198 -16
25 199 -2
26 27 40
26 28 60
26 29 100
26 30 160
26 31 20
26 44 2
26 45 4
26 46 6
26 47 10
26 48 16
26 49 2
26 56 2
26 57 4
26 58 6
26 59 10
26 60 16
26 61 2
26 68 2
26 69 4
26 70 6
26 71 10
26 72 16
26 73 2
26 80 2
26 81 4
26 82 6
26 83 10
26 84 16
26 85 2
26 92 2
26 93 4
26 94 6
26 95 10
26 96 16
26 97 2
26 128 -2
26 129 -4
26 130 -6
26 131 -10
26 132 -16
26 133 -2
26 140 -2
26 141 -4
26 142 -6
26 143 -10
26 144 -16
26 145 -2
26 152 -2
26 153 -4
26 154 -6
26 155 -10
26 156 -16
26 157 -2
26 164 -2
26 165 -4
26 166 -6
26 167 -10
26 168 -16
26 169 -2
26 176 -2
26 177 -4
26 178 -6
26 179 -10
26 180 -16
26 181 -2
27 28 120
27 29 200
27 30 320
27 31 40
27 44 4
27 45 8
27 46 12
27 47 20
27 48 32
27 49 4
27 56 4
27 57 8
27 58 12
27 59 20
27 60 32
27 61 4
27 68 4
27 69 8
27 70 12
27 71 20
27 72 32
27 73 4
27 80 4
27 81 8
27 82 12
27 83 20
27 84 32
27 85 4
27 92 4
27 93 8
27 94 12
27 95 20
27 96 32
27 97 4
27 128 -4
27 129 -8
27 130 -12
27 131 -20
27 132 -32
27 133 -4
27 140 -4
27 141 -8
27 142 -12
27 143 -20
27 144 -32
27 145 -4
27 152 -4
27 153 -8
27 154 -12
27 155 -20
27 156 -32
27 157 -4
27 164 -4
27 165 -8
27 166 -12
27 167 -20
27 168 -32
27 169 -4
27 176 -4
27 177 -8
27 178 -12
27 179 -20
27 180 -32
27 181 -4
28 29 300
28 30 480
28 31 60
28 44 6
28 45 12
28 46 18
28 47 30
28 48 48
28 49 6
28 56 6
28 57 12
28 58 18
28 59 30
28 60 48
28 61 6
28 68 6
28 69 12
28 70 18
28 71 30
28 72 48
28 73 6
28 80 6
28 81 12
28 82 18
28 83 30
28 84 48
28 85 6
28 92 6
28 93 12
28 94 18
28 95 30
28 96 48
28 97 6
28 128 -6
28 129 -12
28 130 -18
28 131 -30
28 132 -48
28 133 -6
28 140 -6
28 141 -12
28 142 -18
28 143 -30
28 144 -48
28 145 -6
28 152 -6
28 153 -12
28 154 -18
28 155 -30
28 156 -48
28 157 -6
28 164 -6
28 165 -12
28 166 -18
28 167 -30
28 168 -48
28 169 -6
